Treatment Condition,CD14 Fold Increase (HL60),CD14 Fold Increase (OCI-AML3),CD14 Fold Increase (NB4),ROS Oxidation (HL60),ROS Oxidation (OCI-AML3),ROS Oxidation (NB4),Compound Name,IC50,Dosing Range,Units,Concentrations Tested,Microscopy Images,Observed Response,Study,Cell Line,Condition,Apoptosis (%),PARP Fold Change,ROS Level,Cell Viability (%),Nanoparticle,NAC,H2O2_mM,Concentration_mg/mL,ROS_Level_%Control,Observation,Drug,Concentration (uM),siRNA,% ROS+ Cells,Concentration (μM or mM),Time (h),ROS Measurement,ROS Unit,NAC Involved,Delivery Type,Source Figure/Study
Condition,1.0,1.0,1.0,1.0,1.0,1.0,Mito-nNAC-SMe,1.9,0–100,uM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 1.6 μM, 12.5 μM","Starts dropping at 1.6 μM, near-zero at ≥12.5 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
NAC,3.5,2.0,2.5,0.8,0.9,0.85,Mito-nNAC-SMe,1.9,0–100,uM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 1.6 μM, 12.5 μM","Starts dropping at 1.6 μM, near-zero at ≥12.5 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO,1.0,1.1,1.2,2.3,2.4,2.1,Mito-nNAC-SMe,1.9,0–100,uM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 1.6 μM, 12.5 μM","Starts dropping at 1.6 μM, near-zero at ≥12.5 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,Mito-nNAC-SMe,1.9,0–100,uM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 1.6 μM, 12.5 μM","Starts dropping at 1.6 μM, near-zero at ≥12.5 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,Mito-nNAC-SMe,1.9,0–100,uM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 1.6 μM, 12.5 μM","Starts dropping at 1.6 μM, near-zero at ≥12.5 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,Mito-PEG-NAC,36.7,0–100,uM,Same as above,"control, 25 μM, 50 μM","Moderate drop at 25 μM, severe at 50 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC-SMe,6600.0,0–100,mM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 6.2 mM, 25 mM","Initial drop at 6.25 mM, near-zero at ≥25 mM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",PEITC+NAC Apoptosis,PA-1,PEITC + NAC,5.0,10.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
